id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
251,coming,unauk,0,2,0,0,0
252,agendas,unauk,0,0,2,0,0
253,factor,unauk,0,2,0,0,0
254,learn,unauk,0,2,0,0,0
255,challenge,unauk,0,2,0,0,0
256,waiting,unauk,0,2,0,0,0
257,process,unauk,0,2,0,0,0
258,exile,unauk,2,0,0,0,0
259,challenges,unauk,0,2,0,0,0
260,inward,unauk,2,0,0,0,0
261,africa,unauk,0,0,2,0,0
262,insider,unauk,0,2,0,0,0
263,participate,unauk,2,0,0,0,0
264,try,unauk,2,0,0,0,0
265,solutions,unauk,2,0,0,0,0
266,outsider,unauk,0,2,0,0,0
267,representatives,unauk,0,0,2,0,0
268,donors,unauk,0,0,2,0,0
269,uk,unauk,0,2,0,0,0
270,talking,unauk,0,2,0,0,0
271,rule,unauk,2,0,0,0,0
272,discuss,unauk,0,2,0,0,0
273,takes,unauk,0,0,0,2,0
274,priorities,unauk,2,0,0,0,0
275,interstate,unauk,0,0,2,0,0
276,allow,unauk,0,0,0,2,0
277,philanthropists,unauk,0,0,2,0,0
278,p5,unauk,0,2,0,0,0
279,engage,unauk,0,0,2,0,0
280,accountable,unauk,0,0,2,0,0
281,case,unauk,0,0,2,0,0
282,1945,unauk,0,0,0,2,0
283,organizations,unauk,2,0,0,0,0
284,secretariat,unauk,2,0,0,0,0
285,influence,unauk,0,0,2,0,0
286,opportunity,unauk,2,0,0,0,0
287,reported,unauk,0,0,0,2,0
288,serve,unauk,2,0,0,0,0
289,flexible,unauk,0,0,0,2,0
290,remember,unauk,0,0,2,0,0
291,knows,unauk,2,0,0,0,0
292,democracy,unauk,2,0,0,0,0
293,promise,unauk,0,2,0,0,0
294,budget,unauk,0,2,0,0,0
295,live,unauk,0,0,0,2,0
296,does,unauk,0,2,0,0,0
297,maintain,unauk,2,0,0,0,0
298,prepared,unauk,0,2,0,0,0
299,ngos,unauk,2,0,0,0,0
300,evening,unauk,0,2,0,0,0
301,happens,unauk,2,0,0,0,0
302,deficit,unauk,0,0,2,0,0
303,panorama,unauk,0,0,0,2,0
304,girls,unauk,2,0,0,0,0
305,permanent,unauk,0,2,0,0,0
306,living,unauk,0,2,0,0,0
307,certain,unauk,0,0,2,0,0
308,outside,unauk,0,2,0,0,0
309,defending,unauk,0,0,0,2,0
310,tonight,unauk,0,0,0,2,0
311,sector,unauk,0,0,2,0,0
312,44,unauk,0,0,0,2,0
313,use,unauk,0,0,0,2,0
314,leaner,unauk,2,0,0,0,0
315,create,unauk,0,0,0,2,0
316,connected,unauk,0,2,0,0,0
317,respond,unauk,0,2,0,0,0
318,generations,unauk,0,2,0,0,0
319,consensus,unauk,2,0,0,0,0
320,bureaucratic,unauk,0,0,0,2,0
321,career,unauk,0,0,0,2,0
322,bit,unauk,0,0,2,0,0
323,china,unauk,0,0,0,2,0
324,active,unauk,0,0,2,0,0
325,minister,unauk,2,0,0,0,0
326,president,unauk,2,0,0,0,0
327,meaningful,unauk,2,0,0,0,0
328,learned,unauk,2,0,0,0,0
329,vision,unauk,2,0,0,0,0
330,ready,unauk,0,2,0,0,0
331,defining,unauk,0,2,0,0,0
332,place,unauk,0,0,2,0,0
333,entry,unauk,0,0,0,2,0
334,opinion,unauk,0,0,2,0,0
335,advice,unauk,0,2,0,0,0
336,reality,unauk,2,0,0,0,0
337,presence,unauk,0,0,0,2,0
338,gap,unauk,0,2,0,0,0
339,empowerment,unauk,2,0,0,0,0
340,personal,unauk,0,2,0,0,0
341,protect,unauk,2,0,0,0,0
342,maybe,unauk,0,0,0,2,0
343,design,unauk,2,0,0,0,0
344,family,unauk,0,0,0,2,0
345,special,unauk,0,0,2,0,0
346,answers,unauk,0,2,0,0,0
347,ability,unauk,0,0,2,0,0
348,local,unauk,0,2,0,0,0
349,makes,unauk,0,0,0,2,0
350,conflicts,unauk,0,0,0,2,0
351,31,unauk,0,2,0,0,0
352,communication,unauk,0,2,0,0,0
353,manage,unauk,0,2,0,0,0
354,warning,unauk,2,0,0,0,0
355,concrete,unauk,2,0,0,0,0
356,pyramidal,unauk,0,0,0,2,0
357,state,unauk,0,2,0,0,0
358,main,unauk,0,0,0,2,0
359,black,unauk,0,0,0,2,0
360,dedicated,unauk,0,2,0,0,0
361,ones,unauk,2,0,0,0,0
362,russia,unauk,0,0,2,0,0
363,hub,unauk,0,2,0,0,0
