id,word,debate,count_bachelet,count_espinosa,count_grossi,count_grynspan,count_sall
273,driven,gwl,0,0,0,2,0
274,listening,gwl,2,0,0,0,0
275,fought,gwl,0,0,0,2,0
276,era,gwl,0,2,0,0,0
277,risk,gwl,0,0,0,2,0
278,talking,gwl,2,0,0,0,0
279,service,gwl,2,0,0,0,0
280,town,gwl,0,2,0,0,0
281,reform,gwl,2,0,0,0,0
282,defend,gwl,2,0,0,0,0
283,affected,gwl,2,0,0,0,0
284,working,gwl,2,0,0,0,0
285,clinic,gwl,2,0,0,0,0
286,paris,gwl,2,0,0,0,0
287,machinery,gwl,2,0,0,0,0
288,exactly,gwl,0,2,0,0,0
289,ability,gwl,0,2,0,0,0
290,jobs,gwl,0,2,0,0,0
291,objectives,gwl,0,0,0,2,0
292,english,gwl,0,2,0,0,0
293,step,gwl,2,0,0,0,0
294,york,gwl,0,2,0,0,0
295,slogan,gwl,0,2,0,0,0
296,office,gwl,2,0,0,0,0
297,remember,gwl,0,0,0,2,0
298,shared,gwl,0,2,0,0,0
299,taking,gwl,0,2,0,0,0
300,matter,gwl,2,0,0,0,0
301,power,gwl,0,2,0,0,0
302,policies,gwl,0,0,0,2,0
303,strong,gwl,0,2,0,0,0
304,perfect,gwl,2,0,0,0,0
305,agents,gwl,0,2,0,0,0
306,innovation,gwl,0,2,0,0,0
307,pillars,gwl,0,2,0,0,0
308,push,gwl,0,0,0,2,0
309,capable,gwl,0,2,0,0,0
310,tool,gwl,0,2,0,0,0
311,bureaucratic,gwl,0,0,0,2,0
312,earn,gwl,0,2,0,0,0
313,et,gwl,2,0,0,0,0
314,solutions,gwl,0,2,0,0,0
315,loans,gwl,2,0,0,0,0
316,peacemaker,gwl,0,2,0,0,0
317,read,gwl,2,0,0,0,0
318,annan,gwl,0,0,0,2,0
319,lack,gwl,0,2,0,0,0
320,small,gwl,0,0,0,2,0
321,person,gwl,0,0,0,2,0
322,frustration,gwl,0,2,0,0,0
323,economic,gwl,0,2,0,0,0
324,realize,gwl,2,0,0,0,0
325,360,gwl,0,2,0,0,0
326,digital,gwl,0,0,0,2,0
327,signs,gwl,2,0,0,0,0
328,invisible,gwl,0,0,0,2,0
329,humanism,gwl,2,0,0,0,0
